date_received,queue_name,agent_number,answered,consult,transfer,hangup,call_type
2014-03-01 14:43:08,30172,6985.0,2014-03-01 14:44:04,2014-03-01 14:44:45,2014-03-01 14:45:27,2014-03-01 14:48:41,2
2014-03-01 14:44:05,30560,8077.0,2014-03-01 14:44:45,NULL,NULL,2014-03-01 14:47:48,20
2014-03-01 14:55:18,30175,8496.0,2014-03-01 14:55:19,NULL,NULL,2014-03-01 15:03:01,5
2014-03-01 14:55:30,30175,6985.0,2014-03-01 14:55:31,NULL,NULL,2014-03-01 14:55:58,5
2014-03-01 14:56:45,30172,8077.0,2014-03-01 14:56:46,NULL,NULL,2014-03-01 14:59:44,2
2014-03-01 15:00:25,30560,8077.0,2014-03-01 15:00:26,NULL,NULL,2014-03-01 15:06:21,20
2014-03-01 15:01:29,30175,6985.0,2014-03-01 15:04:54,NULL,NULL,2014-03-01 15:08:47,5
2014-03-01 15:01:59,30179,NULL,NULL,NULL,NULL,2014-03-01 15:04:27,9
2014-03-01 15:02:01,30175,7819.0,2014-03-01 15:06:20,NULL,NULL,2014-03-01 15:10:56,5
2014-03-01 15:06:23,30175,8077.0,2014-03-01 15:06:24,NULL,NULL,2014-03-01 15:09:27,5
2014-03-01 15:07:53,30172,6985.0,2014-03-01 15:08:50,NULL,NULL,2014-03-01 15:12:23,2
2014-03-01 15:12:47,30560,8077.0,2014-03-01 15:12:48,NULL,NULL,2014-03-01 15:17:26,20
2014-03-01 15:13:46,30175,7819.0,2014-03-01 15:13:47,NULL,NULL,2014-03-01 15:17:24,5
2014-03-01 15:18:42,30175,6985.0,2014-03-01 15:18:43,NULL,NULL,2014-03-01 15:23:27,5
2014-03-01 15:23:08,30175,7819.0,2014-03-01 15:23:09,NULL,NULL,2014-03-01 15:28:43,5
2014-03-01 15:27:03,30560,8077.0,2014-03-01 15:27:04,NULL,NULL,2014-03-01 15:34:35,20
2014-03-01 15:29:13,30172,7819.0,2014-03-01 15:29:14,NULL,NULL,2014-03-01 15:32:44,2
2014-03-01 15:32:11,30175,6985.0,2014-03-01 15:32:11,NULL,NULL,2014-03-01 15:34:18,5
2014-03-01 15:34:11,30560,7819.0,2014-03-01 15:34:12,NULL,NULL,2014-03-01 15:37:55,20
2014-03-01 15:35:04,30560,6985.0,2014-03-01 15:35:05,NULL,NULL,2014-03-01 15:39:33,20
2014-03-01 15:36:58,30175,8077.0,2014-03-01 15:36:59,NULL,NULL,2014-03-01 15:41:09,5
2014-03-01 15:38:09,30175,7819.0,2014-03-01 15:38:10,NULL,NULL,2014-03-01 15:48:23,5
2014-03-01 15:39:29,30175,6985.0,2014-03-01 15:39:36,NULL,NULL,2014-03-01 15:40:25,5
